Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666913871.5614407,0,85065,0,GPS1_Frame,42.33707416666666,-71.08979316666667,9.7,327841.0768998546,4689317.3016185155,19.0,T
1666913873.3785942,0,85066,0,GPS1_Frame,42.33704866666667,-71.089783,9.9,327841.84488572646,4689314.44945385,19.0,T
1666913875.1943026,0,85067,0,GPS1_Frame,42.33702816666667,-71.0897645,10.0,327843.3130531807,4689312.135629292,19.0,T
1666913877.0090377,0,85068,0,GPS1_Frame,42.33701283333333,-71.08974033333334,9.9,327845.2621656511,4689310.384051288,19.0,T
1666913878.8275414,0,85069,0,GPS1_Frame,42.33700133333333,-71.08971083333333,9.7,327847.6611230675,4689309.047338583,19.0,T
1666913880.643476,0,85070,0,GPS1_Frame,42.33699733333333,-71.089677,9.8,327850.4375463844,4689308.534671561,19.0,T
1666913882.4598114,0,85071,0,GPS1_Frame,42.33700133333333,-71.089641,9.5,327853.41429952777,4689308.905958264,19.0,T
1666913884.2726636,0,85072,0,GPS1_Frame,42.33701383333334,-71.08960616666667,9.4,327856.3181311146,4689310.2234683335,19.0,T
1666913886.084807,0,85073,0,GPS1_Frame,42.337033000000005,-71.08957783333334,9.3,327858.7046543418,4689312.294420978,19.0,T
1666913888.5046914,0,85087,0,GPS1_Frame,42.337045833333335,-71.0897765,9.5,327842.3726519041,4689314.121673606,19.0,T
1666913890.320117,0,85088,0,GPS1_Frame,42.33702666666667,-71.08975766666667,9.7,327843.87191958353,4689311.955230804,19.0,T
1666913892.1361036,0,85089,0,GPS1_Frame,42.337012,-71.089733,9.7,327845.86404367076,4689310.276668918,19.0,T
1666913893.9516811,0,85090,0,GPS1_Frame,42.337003,-71.08970233333334,9.7,327848.3659384103,4689309.21520038,19.0,T
1666913895.766877,0,85091,0,GPS1_Frame,42.337,-71.08966933333333,9.5,327851.0764368166,4689308.815263129,19.0,T
1666913897.583225,0,85092,0,GPS1_Frame,42.33700350000001,-71.08963616666666,9.3,327853.8184030022,4689309.136764991,19.0,T
1666913899.398523,0,85093,0,GPS1_Frame,42.33701316666667,-71.08960499999999,9.1,327856.4124270834,4689310.147078197,19.0,T
1666913901.2137544,0,85094,0,GPS1_Frame,42.33702933333334,-71.08957783333334,9.1,327858.6946492449,4689311.887265585,19.0,T
1666913903.0315595,0,85094,0,GPS1_Frame,42.33705150000001,-71.08955766666666,9.0,327860.41655178135,4689314.307878917,19.0,T
1666913904.8448951,0,85095,0,GPS1_Frame,42.337077,-71.089548,9.1,327861.2825135141,4689317.119890225,19.0,T
1666913906.6603687,0,85096,0,GPS1_Frame,42.3371035,-71.08955016666667,9.2,327861.17632290913,4689320.066899557,19.0,T
1666913908.4765859,0,85097,0,GPS1_Frame,42.337129999999995,-71.08956133333332,9.0,327860.3286745175,4689323.032128727,19.0,T
1666913910.292315,0,85099,0,GPS1_Frame,42.33715383333333,-71.08958133333334,8.8,327858.74602349824,4689325.719127604,19.0,T
1666913912.105371,0,85100,0,GPS1_Frame,42.337171500000004,-71.08960933333333,8.8,327856.4874734415,4689327.737561301,19.0,T
1666913913.9187086,0,85101,0,GPS1_Frame,42.337181333333334,-71.08964116666667,8.5,327853.89174357126,4689328.893924369,19.0,T
1666913916.741455,0,85115,0,GPS1_Frame,42.337031499999995,-71.089579,9.6,327858.6044462742,4689312.130219258,19.0,T
1666913918.556356,0,85116,0,GPS1_Frame,42.33705583333334,-71.08955833333333,9.6,327860.37345300114,4689314.790412181,19.0,T
1666913920.3721652,0,85117,0,GPS1_Frame,42.337083666666665,-71.08954866666666,9.5,327861.2457815044,4689317.861522375,19.0,T
1666913922.1875758,0,85118,0,GPS1_Frame,42.33711316666666,-71.08955166666667,9.6,327861.0791233126,4689321.143345869,19.0,T
1666913924.0050423,0,85119,0,GPS1_Frame,42.337140500000004,-71.08956766666667,9.5,327859.83555866865,4689324.210895139,19.0,T
1666913925.8220458,0,85120,0,GPS1_Frame,42.337161833333326,-71.08959416666667,9.6,327857.71058926976,4689326.633447163,19.0,T
1666913927.6381738,0,85121,0,GPS1_Frame,42.337175333333334,-71.08962716666666,9.6,327855.0287493028,4689328.199327072,19.0,T
1666913929.454018,0,85122,0,GPS1_Frame,42.337180999999994,-71.089662,9.5,327852.1744974551,4689328.899087673,19.0,T
1666913931.2703345,0,85123,0,GPS1_Frame,42.3371785,-71.08969633333332,9.5,327849.3391527861,4689328.690991043,19.0,T
1666913933.085599,0,85124,0,GPS1_Frame,42.337168166666665,-71.08972783333334,9.5,327846.71585355065,4689327.607327206,19.0,T
1666913934.9012296,0,85124,0,GPS1_Frame,42.33714983333333,-71.089755,9.6,327844.42772039503,4689325.626551909,19.0,T
1666913936.7150257,0,85125,0,GPS1_Frame,42.337125,-71.08977566666667,9.7,327842.65734534815,4689322.910841681,19.0,T
1666913938.5308545,0,85126,0,GPS1_Frame,42.33709650000001,-71.089786,10.0,327841.7282669033,4689319.767055068,19.0,T
